title,link,date,summary
Vedanta Aluminium receives BIS certification for high-quality 12 mm aluminium wire rods,https://news.metal.com/newscontent/102885969/Vedanta-Aluminium-receives-BIS-certification-for-high-quality-12-mm-aluminium-wire-rods,2024-08-02,"Vedanta Aluminium has received a certification from the Bureau of Indian Standards (BIS) for its 12 mm aluminium wire rods manufactured at the BALCO facility in Korba, India. In addition, the company has acquired six renewed certifications for other products."
Bauxite-rich Guinea redrafts political landscape with new constitution,https://news.metal.com/newscontent/102885961/Bauxite-rich-Guinea-redrafts-political-landscape-with-new-constitution,2024-08-02,Guinea's military leadership has introduced a draft constitution to reduce presidential terms and limit the number of terms a president can serve the West African nation with the world's largest bauxite reserves on record.
"Aluminum billets : This week's performance was relatively stable, and the off-season market atmosphere did not see significant improvement",https://news.metal.com/newscontent/102885950/Aluminum-billets-:-This-weeks-performance-was-relatively-stable-and-the-off-season-market-atmosphere-did-not-see-significant-improvement,2024-08-02,"Although aluminum billet inventory slightly decreased mid-week, the inventory was affected by low domestic inflow."
"Aluminum ingot inventory built-up showed signs of accelerating, surpassing 800,000 mt this week",https://news.metal.com/newscontent/102885940/Aluminum-ingot-inventory-built-up-showed-signs-of-accelerating-surpassing-800000-mt-this-week,2024-08-02,"As of August 1, 2024, SMM reported a total social inventory of aluminum ingots at 814,000 mt, (the amount for sale stood at 688,000 mt), an increase of 24,000 mt WoW and 289,000 mt higher YoY."
"In July, domestic alumina costs increased by 1.77% MoM, with strong support from mining costs",https://news.metal.com/newscontent/102885936/In-July-domestic-alumina-costs-increased-by-177-MoM-with-strong-support-from-mining-costs,2024-08-02,"According to the SMM alumina daily cost model, as of July 31, the weighted average total cost of the domestic alumina industry was 2,867.2 yuan/mt, up 49.7 yuan/mt from the end of June, up 1.77% MoM, and up 7.34% YoY."
Aluminum prices to move rangebound due to positive macro front but weak fundamentals,https://news.metal.com/newscontent/102885930/Aluminum-prices-to-move-rangebound-due-to-positive-macro-front-but-weak-fundamentals,2024-08-02,"This week, the macro front improved."
SMM Morning Comment For SHFE Base Metals On August 2,https://news.metal.com/newscontent/102883854/SMM-Morning-Comment-For-SHFE-Base-Metals-On-August-2,2024-08-02,"Overnight, LME copper opened at $9,112/mt."
SMM Aluminum Market Morning Comment (Aug 2),https://news.metal.com/newscontent/102883822/SMM-Aluminum-Market-Morning-Comment-Aug-2,2024-08-02,"The most-traded SHFE 2409 aluminum contract opened at 19,230 yuan/mt overnight, reaching a high of 19,330 yuan/mt and a low of 19,225 yuan/mt, and closed at 19,225 yuan/mt, up 50 yuan/mt, an increase of 0.26%."
"The decline in aluminum prices makes it difficult to drive downstream demand. In July, the domestic aluminum processing sector PMI remained below 50% [SMM Downstream In-depth Analysis]",https://news.metal.com/newscontent/102883178/The-decline-in-aluminum-prices-makes-it-difficult-to-drive-downstream-demand-In-July-the-domestic-aluminum-processing-sector-PMI-remained-below-50-[SMM-Downstream-In-depth-Analysis],2024-08-01,"According to SMM data, the comprehensive PMI index of the domestic aluminum processing industry recorded 41.80% in July 2024, up 0.2 percentage points MoM, remaining below 50% for three consecutive months."
Canyon Resources secures mining convention for Minim-Martap Bauxite Project in Cameroon,https://news.metal.com/newscontent/102881445/Canyon-Resources-secures-mining-convention-for-Minim-Martap-Bauxite-Project-in-Cameroon,2024-08-01,Canyon Resources Limited has formally signed a mining convention for the Minim-Martap Bauxite Project in Cameroon.
Aluminum prices surged significantly; wait-and-see sentiment among downstream buyers led to weaker transactions. [Daily Review of Aluminum Billet Spot Market],https://news.metal.com/newscontent/102883859/Aluminum-prices-surged-significantly-wait-and-see-sentiment-among-downstream-buyers-led-to-weaker-transactions-[Daily-Review-of-Aluminum-Billet-Spot-Market],2024-08-01,"Today, SMM A00 spot aluminium prices increased by 200 yuan/mt compared to the previous working day, reaching 19,170 yuan/mt."
Bauxite-rich Guinea redrafts political landscape with new constitution,https://news.metal.com/newscontent/102881434/Bauxite-rich-Guinea-redrafts-political-landscape-with-new-constitution,2024-08-01,Guinea's military leadership has introduced a draft constitution to reduce presidential terms and limit the number of terms a president can serve the West African nation with the world's largest bauxite reserves on record.
SMM Morning Comment For SHFE Base Metals On August 1,https://news.metal.com/newscontent/102881421/SMM-Morning-Comment-For-SHFE-Base-Metals-On-August-1,2024-08-01,"LME copper opened at $9,126/mt overnight, hitting a session low of $9,120/mt at the beginning of trading."
SMM Aluminum Market Morning Comment (Aug 1),https://news.metal.com/newscontent/102881412/SMM-Aluminum-Market-Morning-Comment-Aug-1,2024-08-01,"The most-traded SHFE 2409 aluminum contract opened at 19,295 yuan/mt overnight, reaching a high of 19,355 yuan/mt and a low of 19,205 yuan/mt, and closed at 19,310 yuan/mt, up 175 yuan/mt, or 0.91%."
"Bears hedged and exited, and spot aluminium prices rebounded slightly today",https://news.metal.com/newscontent/102880704/Bears-hedged-and-exited-and-spot-aluminium-prices-rebounded-slightly-today,2024-07-31,"In the early trading session today, SHFE aluminum shorts exited the market, causing the market prices center to shift upwards."
"iYacht together with Speira launches Hu'chu 55, featuring 90% recycled aluminium",https://news.metal.com/newscontent/102879235/iYacht-together-with-Speira-launches-Huchu-55-featuring-90-recycled-aluminium,2024-07-31,"German yacht design and engineering studio iYacht has unveiled the Hu'chu 55, a substantial 55-foot solar-electric sailing catamaran made of 90 per cent recycled scrap aluminium."
China's NEV production growth signals higher aluminium consumption,https://news.metal.com/newscontent/102879229/Chinas-NEV-production-growth-signals-higher-aluminium-consumption,2024-07-31,"According to data from the China Association of Automobile Manufacturers, Chinese new energy vehicle (NEV) production surged by 31.9 per cent year-on-year in May."
SMM Morning Comment For SHFE Base Metals On July 31,https://news.metal.com/newscontent/102879208/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-31,2024-07-31,"LME copper opened at $8,954/mt overnight."
SMM Aluminum Market Morning Comment (July 31),https://news.metal.com/newscontent/102879194/SMM-Aluminum-Market-Morning-Comment-July-31,2024-07-31,"The most-traded SHFE aluminum 2409 contract opened at 18,840 yuan/mt overnight, reaching a high of 19,040 yuan/mt and a low of 18,790 yuan/mt, and closed at 19,010 yuan/mt, up 60 yuan/mt, or 0.32%."
DGTR suggests anti-dumping duty of up to INR577/t on Chinese aluminium frames,https://news.metal.com/newscontent/102878662/DGTR-suggests-anti-dumping-duty-of-up-to-INR577t-on-Chinese-aluminium-frames,2024-07-30,Directorate General of Trade Remedies (DGTR) under the Ministry of Commerce and Industry has reportedly put forward the proposal of imposing an anti-dumping duty of up to INR 577 per tonne on aluminium frames originating from China.
Porsche trims down its sales and profit outlook as aluminium alloy supply shortage affects production,https://news.metal.com/newscontent/102878617/Porsche-trims-down-its-sales-and-profit-outlook-as-aluminium-alloy-supply-shortage-affects-production,2024-07-30,"Amid an unprecedented supply shortage of aluminium alloy, Porsche AG has reduced its sales and profit outlook, which has led to the German company’s shares falling 4 per cent to the bottom of Frankfurt’s blue-chip index."
EGA welcomes over 25 high school & university students to industry-focussed summer training programme,https://news.metal.com/newscontent/102878360/EGA-welcomes-over-25-high-school-university-students-to-industry-focussed-summer-training-programme,2024-07-30,"Emirates Global Aluminium, the largest industrial company in the United Arab Emirates outside oil and gas, welcomed for the summer training over 25 UAE National high school and university students considering careers in industry."
Future of Saudi Arabia’s mining: Bauxite and phosphate remain key priorities,https://news.metal.com/newscontent/102878341/Future-of-Saudi-Arabia’s-mining:-Bauxite-and-phosphate-remain-key-priorities,2024-07-30,"Saudi Arabia’s mining sector is on the cusp of a transformative era, with the Kingdom determined to become a global leader in the industry."
SMM Morning Comment For SHFE Base Metals On July 30,https://news.metal.com/newscontent/102877344/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-30,2024-07-30,"LME copper opened at $9,076/mt overnight, initially reaching a high of $9,077/mt before hitting a low of $8,984/mt."
SMM Aluminum Market Morning Comment (July 30),https://news.metal.com/newscontent/102876926/SMM-Aluminum-Market-Morning-Comment-July-30,2024-07-30,"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,145 yuan/mt, reaching a high of 19,205 yuan/mt and a low of 19,090 yuan/mt, and closed at 19,140 yuan/mt, down 55 yuan/mt, a decrease of 0.29%."
SMM Morning Comment For SHFE Base Metals On July 29,https://news.metal.com/newscontent/102874747/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-29,2024-07-29,"Last Friday night, LME copper opened at $9,132.5/mt, initially peaking at $9,147/mt, then trending downward to a session low of $9,076/mt."
SMM Aluminum Market Morning Comment (July 29),https://news.metal.com/newscontent/102874706/SMM-Aluminum-Market-Morning-Comment-July-29,2024-07-29,"Last Friday, the most-traded SHFE 2409 aluminum contract opened at 19,290 yuan/mt, reaching a high of 19,395 yuan/mt and a low of 19,280 yuan/mt, and closed at 19,370 yuan/mt, up 120 yuan/mt, or 0.62%."
"Destocking of aluminum billets continued, with processing fees steadily rising, but downstream demand still lacks growth",https://news.metal.com/newscontent/102874209/Destocking-of-aluminum-billets-continued-with-processing-fees-steadily-rising-but-downstream-demand-still-lacks-growth,2024-07-26,"Regarding aluminum billet inventory, despite the off-season, the decline in aluminum prices last week did not significantly improve pick-up from warehouses."
"Aluminum: The sharp drop in aluminum prices has not significantly driven destocking, with Wuxi's inventory far exceeding that of Foshan",https://news.metal.com/newscontent/102874208/Aluminum:-The-sharp-drop-in-aluminum-prices-has-not-significantly-driven-destocking-with-Wuxis-inventory-far-exceeding-that-of-Foshan,2024-07-26,"On July 25, 2024, SMM reported that the total social inventory of aluminum ingots was 790,000 mt, (the amount for sale stood at 664,000 mt), down 7,000 mt WoW and 2,000 mt from July 22, but it is still 254,000 mt higher YoY."
